"kinship","id1_id2","PC1_id1","PC2_id1","sex_id1","yr_id1","imm_res_id1","nb_id1","x_id1","y_id1","section_id1","PC1_id2","PC2_id2","sex_id2","yr_id2","imm_res_id2","nb_id2","x_id2","y_id2","section_id2","diff_years","distance","FID1","IID1","FID2","IID2","RT","EZ","Z0","Z1","Z2","PI_HAT","PHE","DST","PPC","RATIO","id2","id1","breeding_nb_id1","breeding_nb_id2","breeding_section_id1","breeding_x_id1","breeding_y_id1","breeding_section_id2","breeding_x_id2","breeding_y_id2","breeding_distance","close_far"
0,"N200906_E985065",0.00782516,-0.00903916,"M",2005,"immigrant","W71",445813.33,209236.71,"W",-0.00343139,-0.00913467,"M",2005,"immigrant","W56",445993.33,209438.71,"W",0,270.562377281099,1,"E985065",1,"N200906","OT",0,1,0,0,0,-1,0.631935,0.3871,1.9461,"E985065","N200906","W71","W56","W",445813.33,209236.71,"W",445993.33,209438.71,270.562377281099,"close"
0,"K199508_T642460",0.00583102,-0.026586,"M",2007,"immigrant","W52",445820.33,209385.71,"W",-0.00360894,-0.0370507,"M",2007,"immigrant","W46",446077.33,209204.76,"W",0,314.31179185642,1,"T642460",1,"K199508","OT",0,1,0,0,0,-1,0.634839,0.1836,1.8353,"T642460","K199508","W52","W46","W",445820.33,209385.71,"W",446077.33,209204.76,314.31179185642,"close"
0.0225694,"R040074_R040132",0.0464049,-0.0444204,"M",2003,"immigrant","W42",445967.33,209346.71,"W",0.00264691,-0.00698023,"M",2003,"immigrant","EX22",446025.33,209133.71,"EX",0,220.755520882265,1,"R040132",1,"R040074","OT",0,0.893,0.107,0,0.0535,-1,0.649115,0.7756,2.1575,"R040132","R040074","W42","EX22","W",445967.33,209346.71,"EX",446025.33,209133.71,220.755520882265,"close"
0.00493316,"TK25877_TB26734",-0.0060434,-0.0227798,"M",2006,"resident","W45",446015.33,209235.71,"W",-0.000534878,-0.0025405,"M",2006,"resident","MP20",448277.72,207566.76,"MP",0,2811.37023790886,1,"TB26734",1,"TK25877","OT",0,0.9831,0.0169,0,0.0084,-1,0.638993,0.8931,2.2583,"TB26734","TK25877","W74","MP78","W",445800.33,209211.71,"MP",448423.72,207060.76,3392.45648381813,"far"
0,"TE80684_E985065",0.0253394,-0.00377415,"M",2005,"resident","W66",445757.33,209361.71,"W",-0.00343139,-0.00913467,"M",2005,"immigrant","W56",445993.33,209438.71,"W",0,248.243831746128,1,"E985065",1,"TE80684","OT",0,1,0,0,0,-1,0.625116,0.0624,1.7267,"E985065","TE80684","W72","W56","W",445760.33,209327.71,"W",445993.33,209438.71,258.089131890516,"close"
0.032172,"TE80684_N200906",0.0253394,-0.00377415,"M",2005,"resident","W66",445757.33,209361.71,"W",0.00782516,-0.00903916,"M",2005,"immigrant","W71",445813.33,209236.71,"W",0,136.970799807842,1,"N200906",1,"TE80684","OT",0,0.8997,0.0626,0.0378,0.0691,-1,0.659674,0.9633,2.3957,"N200906","TE80684","W72","W71","W",445760.33,209327.71,"W",445813.33,209236.71,105.309068935206,"close"
0,"TA15923_E985065",-0.010504,-0.00671886,"M",2005,"resident","W60",445859.33,209421.71,"W",-0.00343139,-0.00913467,"M",2005,"immigrant","W56",445993.33,209438.71,"W",0,135.074053763112,1,"E985065",1,"TA15923","OT",0,1,0,0,0,-1,0.627387,0.0447,1.7056,"E985065","TA15923","W54","W56","W",446073.33,209473.71,"W",445993.33,209438.71,87.3212459828649,"close"
0,"TA15923_N200906",-0.010504,-0.00671886,"M",2005,"resident","W60",445859.33,209421.71,"W",0.00782516,-0.00903916,"M",2005,"immigrant","W71",445813.33,209236.71,"W",0,190.633155563244,1,"N200906",1,"TA15923","OT",0,1,0,0,0,-1,0.636533,0.5752,2.0364,"N200906","TA15923","W54","W71","W",446073.33,209473.71,"W",445813.33,209236.71,351.808186374337,"close"
0,"TA15923_TE80684",-0.010504,-0.00671886,"M",2005,"resident","W60",445859.33,209421.71,"W",0.0253394,-0.00377415,"M",2005,"resident","W66",445757.33,209361.71,"W",0,118.338497539896,1,"TE80684",1,"TA15923","OT",0,1,0,0,0,-1,0.641826,0.6143,2.0573,"TE80684","TA15923","W54","W72","W",446073.33,209473.71,"W",445760.33,209327.71,345.376606040421,"close"
0,"TC58785_E985065",-0.00602523,-0.00755253,"M",2005,"resident","W46",446077.33,209204.76,"W",-0.00343139,-0.00913467,"M",2005,"immigrant","W56",445993.33,209438.71,"W",0,248.573133101693,1,"E985065",1,"TC58785","OT",0,1,0,0,0,-1,0.624418,0.0194,1.642,"E985065","TC58785","W69","W56","W",445872.33,209243.71,"W",445993.33,209438.71,229.490740553949,"close"
0,"TC58785_N200906",-0.00602523,-0.00755253,"M",2005,"resident","W46",446077.33,209204.76,"W",0.00782516,-0.00903916,"M",2005,"immigrant","W71",445813.33,209236.71,"W",0,265.926310281625,1,"N200906",1,"TC58785","OT",0,1,0,0,0,-1,0.620979,0.2483,1.8735,"N200906","TC58785","W69","W71","W",445872.33,209243.71,"W",445813.33,209236.71,59.4138031100518,"close"
0,"TC58785_TE80684",-0.00602523,-0.00755253,"M",2005,"resident","W46",446077.33,209204.76,"W",0.0253394,-0.00377415,"M",2005,"resident","W66",445757.33,209361.71,"W",0,356.417315095654,1,"TE80684",1,"TC58785","OT",0,1,0,0,0,-1,0.634902,0.4223,1.962,"TE80684","TC58785","W69","W72","W",445872.33,209243.71,"W",445760.33,209327.71,140,"close"
0,"TC58785_TA15923",-0.00602523,-0.00755253,"M",2005,"resident","W46",446077.33,209204.76,"W",-0.010504,-0.00671886,"M",2005,"resident","W60",445859.33,209421.71,"W",0,307.556990653753,1,"TA15923",1,"TC58785","OT",0,1,0,0,0,-1,0.635305,0.4223,1.962,"TA15923","TC58785","W69","W54","W",445872.33,209243.71,"W",446073.33,209473.71,305.45212390815,"close"
0,"TB26723_TB26734",-0.00220943,-0.00137677,"M",2006,"resident","MP15",448158.72,207690.76,"MP",-0.000534878,-0.0025405,"M",2006,"resident","MP20",448277.72,207566.76,"MP",0,171.863317784802,1,"TB26734",1,"TB26723","OT",0,1,0,0,0,-1,0.634454,0.5381,2.0184,"TB26734","TB26723","MP31","MP78","MP",448368.72,207321.76,"MP",448423.72,207060.76,266.732075311538,"close"
0.000157233,"TB26723_TK25877",-0.00220943,-0.00137677,"M",2006,"resident","MP15",448158.72,207690.76,"MP",-0.0060434,-0.0227798,"M",2006,"resident","W45",446015.33,209235.71,"W",0,2642.15654240996,1,"TK25877",1,"TB26723","OT",0,1,0,0,0,-1,0.638397,0.3874,1.9464,"TK25877","TB26723","MP31","W74","MP",448368.72,207321.76,"W",445800.33,209211.71,3188.81454377637,"far"
