"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_N199647","immigrant",-0.0452286895801096,-0.106265654689582,1,0
"Wytham_UK_X237914","immigrant",-0.0330329056891908,-0.0833167487331537,0.36,0.64
"Wytham_UK_T642829","immigrant",-0.0926670351267093,-0.0742987164684657,0,1
"Wytham_UK_N200125","immigrant",-0.0686277243562534,-0.134559991617501,0.58,0.42
"Wytham_UK_N199637","immigrant",-0.0505176893271973,-0.1185801725941,0.14,0.86
"Wytham_UK_R639015","immigrant",-0.0997209627152448,-0.00566489953405029,1,0
"Wytham_UK_P812097","immigrant",0.0650282202972096,-0.0346354084751095,0.82,0.18
"Wytham_UK_F464553","immigrant",-0.176974494879279,0.15532516433004,0,1
"Wytham_UK_R040159","immigrant",-0.0940449982744072,-0.105337936122635,0.24,0.76
"Wytham_UK_J644937","immigrant",-0.115993697014168,-0.0766207323141295,0,1
"Wytham_UK_R639486","immigrant",0.0793206171073637,0.0973332893307093,0.92,0.08
"Wytham_UK_L312889","immigrant",-0.0512184153602983,-0.0022181602349089,0.86,0.14
"Wytham_UK_R639441","immigrant",-0.0562138136037838,-0.101511859493377,0.78,0.22
"Wytham_UK_X239704","immigrant",0.367470056567095,0.0566813671630803,1,0
"Wytham_UK_J644943","immigrant",0.235914119342638,-0.00982890735957118,1,0
"Wytham_UK_X239801","immigrant",-0.112271929041615,0.120779573642624,0,1
"Wytham_UK_R639189","immigrant",-0.115052170996325,-0.0902243556573894,0,1
"Wytham_UK_K578927","immigrant",-0.125877904438573,-0.0347419059451418,0,1
"Wytham_UK_T177550","immigrant",-0.166570975009312,0.218231235348692,0,1
"Wytham_UK_N200624","immigrant",-0.126150569771269,0.107030106748032,0.04,0.96
"Wytham_UK_T176885","immigrant",0.395747060501471,0.073149986187127,1,0
"Wytham_UK_N199294","immigrant",-0.0284064013708394,-0.102623053268396,0.4,0.6
"Wytham_UK_N199705","immigrant",0.00695876330165283,-0.137918145700133,0.18,0.82
"Wytham_UK_P439175","immigrant",0.0846523598052215,-0.0358887053766217,1,0
"Wytham_UK_T640005","immigrant",0.444036806125117,0.106208349320462,1,0
"Wytham_UK_T550029","immigrant",-0.132723980133878,0.112027342158655,0,1
"Wytham_UK_T640585","immigrant",0.187821663155795,-0.028609680717821,1,0
"Wytham_UK_J644859","immigrant",0.264234042415668,0.015698926827341,1,0
"Wytham_UK_X237911","immigrant",0.194050913453969,-0.0350900287621326,1,0
"Wytham_UK_T550105","immigrant",-0.15268882750198,0.155607089104417,0,1
"Wytham_UK_N199993","immigrant",-0.0995831666881188,-0.0532510594927238,0.9,0.1
"Wytham_UK_J644996","immigrant",0.0949855736502238,-0.0396875702575244,0.98,0.02
