"pnum","age","sex","bto_species_code","bto_ring","date","yr","nb","retrap","imm_res"
"19831EX8","1","F","GRETI","NK59969","04/06/1983 00:00",1983,"EX8","N","resident"
"19861O81","1","F","GRETI","NN35580","09/06/1986 00:00",1986,"O81","N","resident"
"19861SW105","1","F","GRETI","NN35609","10/06/1986 00:00",1986,"SW105","N","resident"
"19861SW134","1","F","GRETI","NN35662","12/06/1986 00:00",1986,"SW134","N","resident"
"19861O105","1","M","GRETI","NN35726","13/06/1986 00:00",1986,"O105","N","resident"
"19861SW16","1","M","GRETI","NN35821","17/06/1986 00:00",1986,"SW16","N","resident"
"19981W94","1","M","GRETI","VN57986","27/05/1998 00:00",1998,"W94","N","resident"
"19981W11","1","M","GRETI","VX13610","05/06/1998 00:00",1998,"W11","N","resident"
"19991W57","1","M","GRETI","VX13726","20/05/1999 00:00",1999,"W57","N","resident"
"19991C4","1","F","GRETI","VN87317","21/05/1999 00:00",1999,"C4","N","resident"
"19991SW12","1","M","GRETI","VR91849","01/06/1999 00:00",1999,"SW12","N","resident"
"20001C108","1","F","GRETI","VN87380","23/05/2000 00:00",2000,"C108","N","resident"
"20001W100","1","F","GRETI","VS83731","23/05/2000 00:00",2000,"W100","N","resident"
"20001MP71","1","M","GRETI","VS84537","24/05/2000 00:00",2000,"MP71","N","resident"
"20001MP71","1","M","GRETI","VS84536","24/05/2000 00:00",2000,"MP71","N","resident"
"20001MP68","1","F","GRETI","VS84546","25/05/2000 00:00",2000,"MP68","N","resident"
"20001W44","1","M","GRETI","VS83758","25/05/2000 00:00",2000,"W44","N","resident"
"20001CP33","1","F","GRETI","VS83747","25/05/2000 00:00",2000,"CP33","N","resident"
"20001MP44","1","M","GRETI","VS84713","26/05/2000 00:00",2000,"MP44","N","resident"
"20001W59","1","M","GRETI","VS83783","27/05/2000 00:00",2000,"W59","N","resident"
"20001CP41","1","M","GRETI","VS83800","27/05/2000 00:00",2000,"CP41","N","resident"
"20001B100","1","M","GRETI","VS84629","28/05/2000 00:00",2000,"B100","N","resident"
"20001B115","1","F","GRETI","VS84619","28/05/2000 00:00",2000,"B115","N","resident"
"20001EX18","1","F","GRETI","VS84386","29/05/2000 00:00",2000,"EX18","N","resident"
"20001SW72","1","M","GRETI","VF64081","30/05/2000 00:00",2000,"SW72","N","resident"
"20001O49","1","F","GRETI","VF64090","30/05/2000 00:00",2000,"O49","N","resident"
"20001CP15","1","M","GRETI","VF64404","31/05/2000 00:00",2000,"CP15","N","resident"
"20001CP3","1","M","GRETI","VF64411","31/05/2000 00:00",2000,"CP3","N","resident"
"20001EX30","1","M","GRETI","VF64506","01/06/2000 00:00",2000,"EX30","N","resident"
"20001EX49A","1","M","GRETI","VF64533","02/06/2000 00:00",2000,"EX49A","N","resident"
"20001O112","1","M","GRETI","VF64229","03/06/2000 00:00",2000,"O112","N","resident"
"20001CP32","1","F","GRETI","VF64602","03/06/2000 00:00",2000,"CP32","N","resident"
"20001P11","1","F","GRETI","VF64273","04/06/2000 00:00",2000,"P11","N","resident"
"20001P11","1","M","GRETI","VF64271","04/06/2000 00:00",2000,"P11","N","resident"
"20001W79","1","F","GRETI","VF64622","04/06/2000 00:00",2000,"W79","N","resident"
"20001W54","1","M","GRETI","VF64655","05/06/2000 00:00",2000,"W54","N","resident"
"20001B192","1","F","GRETI","VF64943","06/06/2000 00:00",2000,"B192","N","resident"
"20001CP24","1","M","GRETI","VF64700","12/06/2000 00:00",2000,"CP24","N","resident"
"20011EX75A","1","M","GRETI","VT33243","13/05/2001 00:00",2001,"EX75A","N","resident"
"20011W19","1","M","GRETI","VF64753","28/05/2001 00:00",2001,"W19","N","resident"
"20011MP73","1","F","GRETI","VS83016","29/05/2001 00:00",2001,"MP73","N","resident"
"20011W99A","1","F","GRETI","VF64768","30/05/2001 00:00",2001,"W99A","N","resident"
"20011W16","1","M","GRETI","VF64776","30/05/2001 00:00",2001,"W16","N","resident"
"20011W4A","1","M","GRETI","VF64795","30/05/2001 00:00",2001,"W4A","N","resident"
"20011EX62A","1","M","GRETI","VT34730","01/06/2001 00:00",2001,"EX62A","N","resident"
"20011O96","1","M","GRETI","VT34174","03/06/2001 00:00",2001,"O96","N","resident"
"20011B205","1","M","GRETI","VS83127","03/06/2001 00:00",2001,"B205","N","resident"
"20011B68","1","F","GRETI","VS83171","03/06/2001 00:00",2001,"B68","N","resident"
"20011MP20","1","M","GRETI","VS83235","05/06/2001 00:00",2001,"MP20","N","resident"
"20011EX18A","1","F","GRETI","VT33014","05/06/2001 00:00",2001,"EX18A","N","resident"
"20011C128","1","F","GRETI","VT34632","05/06/2001 00:00",2001,"C128","N","resident"
"20011CP25","1","M","GRETI","VT33031","06/06/2001 00:00",2001,"CP25","N","resident"
"20011W13","1","M","GRETI","VT33143","07/06/2001 00:00",2001,"W13","N","resident"
"20011W93","1","M","GRETI","VF64355","08/06/2001 00:00",2001,"W93","N","resident"
"20021W69","1","M","GRETI","VT33317","12/05/2002 00:00",2002,"W69","N","resident"
